year,project,month,site,treatment,plot_id,functional_group,family,genus,specie,taxon,cover
2018,PFTC3,March,ACJ,B,1,Forb,Asteraceae,Hieracium,cf. mandonii,Hieracium cf. mandonii,0.5
2018,PFTC3,March,ACJ,B,1,Woody,Asteraceae,Baccharis,genistelloides,Baccharis genistelloides,0.5
2018,PFTC3,March,ACJ,B,1,Woody,Asteraceae,Baccharis,tricuneata,Baccharis tricuneata,0.5
2018,PFTC3,March,ACJ,B,1,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,1
2018,PFTC3,March,ACJ,B,1,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,0.5
2018,PFTC3,March,ACJ,B,1,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,1
2018,PFTC3,March,ACJ,B,1,Woody,Ericaceae,Gaultheria,vaccinioides,Gaultheria vaccinioides,3
2018,PFTC3,March,ACJ,B,1,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,1
2018,PFTC3,March,ACJ,B,1,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,5
2018,PFTC3,March,ACJ,B,1,Forb,Gentianaceae,Gentiana,sedifolia,Gentiana sedifolia,0.5
2018,PFTC3,March,ACJ,B,1,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,1
2018,PFTC3,March,ACJ,B,1,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,0.5
2018,PFTC3,March,ACJ,B,1,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,20
2018,PFTC3,March,ACJ,B,1,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,1
2018,PFTC3,March,ACJ,B,1,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,0.5
2018,PFTC3,March,ACJ,B,1,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,60
2018,PFTC3,March,ACJ,B,1,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,1
2018,PFTC3,March,ACJ,B,1,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,3
2018,PFTC3,March,ACJ,B,1,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,0.5
2018,PFTC3,March,ACJ,B,1,Forb,Rubiaceae,Galium,corymbosum,Galium corymbosum,0.5
2018,PFTC3,March,ACJ,B,2,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2018,PFTC3,March,ACJ,B,2,Forb,Asteraceae,Hieracium,cf. mandonii,Hieracium cf. mandonii,0.5
2018,PFTC3,March,ACJ,B,2,Forb,Bromeliaceae,Puya,leptostachya,Puya leptostachya,3
2018,PFTC3,March,ACJ,B,2,Gramminoid,Cyperaceae,Carex,pygmaea,Carex pygmaea,7
2018,PFTC3,March,ACJ,B,2,Gramminoid,Cyperaceae,Oreobolus,venezuelensis,Oreobolus venezuelensis,0.5
2018,PFTC3,March,ACJ,B,2,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,2
