year,project,month,site,treatment,plot_id,functional_group,family,genus,species,taxon,cover
2020,PFTC5,March,QUE,BB,1,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,0.5
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Antennaria,linearifolia,Antennaria linearifolia,3
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Aphanactis,villosa,Aphanactis villosa,1
2020,PFTC5,March,QUE,BB,1,Woody,Asteraceae,Baccharis,caespitosa,Baccharis caespitosa,4
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Gamochaeta,coarctata,Gamochaeta coarctata,1
2020,PFTC5,March,QUE,BB,1,Gramminoid,Poaceae,Anatherostipa,hans-meyeri,Anatherostipa hans-meyeri,25
2020,PFTC5,March,QUE,BB,1,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,8
2020,PFTC5,March,QUE,BB,1,Forb,Caryophyllaceae,Cerastium,arvense,Cerastium arvense,0.5
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2020,PFTC5,March,QUE,BB,1,Forb,Gentianaceae,Gentiana,sedifolia,Gentiana sedifolia,0.5
2020,PFTC5,March,QUE,BB,1,Forb,Geraniaceae,Geranium,sessiliflorum,Geranium sessiliflorum,0.5
2020,PFTC5,March,QUE,BB,1,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,2
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Hypochaeris,taraxacoides,Hypochaeris taraxacoides,1
2020,PFTC5,March,QUE,BB,1,Gramminoid,Juncaceae,Luzula,racemosa,Luzula racemosa,2
2020,PFTC5,March,QUE,BB,1,Forb,Apiaceae,Oreomyrrhis,andicola,Oreomyrrhis andicola,4
2020,PFTC5,March,QUE,BB,1,Forb,Oxalidaceae,Oxalis,oreocharis,Oxalis oreocharis,1
2020,PFTC5,March,QUE,BB,1,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,20
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Perezia,pungens,Perezia pungens,0.5
2020,PFTC5,March,QUE,BB,1,Gramminoid,Poaceae,Agrostis,foliata,Agrostis foliata,4
2020,PFTC5,March,QUE,BB,1,Forb,Violaceae,Viola,pygmaea,Viola pygmaea,1
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Werneria,nubigena,Werneria nubigena,0.5
2020,PFTC5,March,QUE,BB,1,Forb,Asteraceae,Werneria,villosa,Werneria villosa,2
