country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,PFTC5,ADY1845,2020,March,2020-03-12,ACJ,C,1,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,6.5,NA,NA,0.068,0.332,0.336,0.512,0.0463,2,3.907,NA,NA,NA,NA,NA,0.39333333333333337,NA,NA,NA
PE,PFTC5,ADZ3452,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,3,NA,0.155,0.285,0.29,0.278,0.0155,1,2.074,0.051666666666666666,0.005166666666666667,0.6913333333333332,133.8064516129032,0.1,0.2843333333333333,NA,NA,NA
PE,PFTC5,AEO9502,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,1,NA,0.217,0.35,0.28,0.287,0.0583,6,5.404,0.217,0.0583,5.404,92.69296740994855,0.26866359447004606,0.30566666666666664,NA,NA,NA
PE,PFTC5,AAE4190,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,1,NA,0.123,0.299,0.273,0.266,0.0373,2,3.3899999999999997,0.123,0.0373,3.3899999999999997,90.88471849865951,0.30325203252032523,0.2793333333333333,NA,NA,NA
PE,PFTC5,AEP3671,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,3,NA,0.137,0.305,0.341,0.246,0.0339,2,3.5490000000000004,0.04566666666666667,0.0113,1.183,104.69026548672568,0.24744525547445254,0.29733333333333334,NA,NA,NA
PE,PFTC5,AUZ0851,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,7,4,NA,0.145,0.257,0.309,0.31,0.0447,3,4.0969999999999995,0.03625,0.011175,1.0242499999999999,91.65548098434004,0.3082758620689655,0.292,NA,NA,NA
PE,PFTC5,AEC5667,2020,March,2020-03-12,ACJ,C,2,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,1,22.5,3,NA,0.033,0.237,0.25,0.292,0.0078,1,1.252,0.011000000000000001,0.0026,0.41733333333333333,160.51282051282053,0.23636363636363633,0.25966666666666666,NA,NA,NA
PE,PFTC5,AVU1713,2020,March,2020-03-12,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,1,NA,0.098,0.251,0.242,0.253,0.0273,3,2.1999999999999997,0.098,0.0273,2.1999999999999997,80.58608058608057,0.2785714285714286,0.24866666666666667,NA,NA,NA
PE,PFTC5,ATO7404,2020,March,2020-03-12,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,9.5,4,NA,0.076,0.267,0.26,NA,0.0178,2,2.502,0.019,0.00445,0.6255,140.56179775280899,0.23421052631578948,0.2635,NA,NA,NA
PE,PFTC5,AUF2369,2020,March,2020-03-12,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,9.5,1,NA,0.085,0.291,0.278,NA,0.0181,1,2.962,0.085,0.0181,2.962,163.646408839779,0.21294117647058824,0.2845,NA,NA,NA
PE,PFTC5,ATK1879,2020,March,2020-03-12,ACJ,C,4,Forb,Gentianaceae,Halenia umbellata,Halenia,umbellata,2,9.5,3,NA,0.072,0.262,0.256,NA,0.016,1,2.385,0.023999999999999997,0.005333333333333333,0.7949999999999999,149.0625,0.22222222222222224,0.259,NA,NA,NA
PE,PFTC5,ADJ9799,2020,March,2020-03-12,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,6.5,5,NA,0.11,0.281,0.26,NA,0.0396,2,2.521,0.022,0.00792,0.5042,63.66161616161616,0.36000000000000004,0.2705,NA,NA,NA
PE,PFTC5,AES2395,2020,March,2020-03-12,ACJ,C,5,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,3,4,3,NA,0.051,0.249,0.25,NA,0.0142,1,1.59,0.016999999999999998,0.004733333333333333,0.53,111.9718309859155,0.2784313725490196,0.2495,NA,NA,NA
PE,PFTC5,AVV3560,2020,March,2020-03-12,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,2,9,2,NA,0.159,0.298,0.291,NA,0.0461,7,3.4250000000000003,0.0795,0.02305,1.7125000000000001,74.295010845987,0.289937106918239,0.2945,NA,NA,NA
PE,PFTC5,ADI7562,2020,March,2020-03-12,ACJ,C,2,Forb,Rosaceae,Lachemilla orbiculata,Lachemilla,orbiculata,1,6.5,4,NA,0.133,0.273,0.305,NA,0.047,2,4.051,0.03325,0.01175,1.01275,86.19148936170212,0.3533834586466165,0.28900000000000003,NA,NA,NA
