year,project,month,site,treatment,plot_id,functional_group,family,genus,specie,taxon,cover
2019,Puna,April,ACJ,B,1,Forb,Asteraceae,Chaptalia,cordata,Chaptalia cordata,0.5
2019,Puna,April,ACJ,B,1,Forb,Asteraceae,Hieracium,cf. mandonii,Hieracium cf. mandonii,0.5
2019,Puna,April,ACJ,B,1,Forb,Asteraceae,Laestadia,muscicola,Laestadia muscicola,0.5
2019,Puna,April,ACJ,B,1,Gramminoid,Cyperaceae,Carex,pichinchensis,Carex pichinchensis,1
2019,Puna,April,ACJ,B,1,Gramminoid,Cyperaceae,Oreobolus,venezuelensis,Oreobolus venezuelensis,1
2019,Puna,April,ACJ,B,1,Gramminoid,Cyperaceae,Rhynchospora,macrochaeta,Rhynchospora macrochaeta,6
2019,Puna,April,ACJ,B,1,Woody,Ericaceae,Gaultheria,glomerata,Gaultheria glomerata,5
2019,Puna,April,ACJ,B,1,Woody,Ericaceae,Gaultheria,vaccinioides,Gaultheria vaccinioides,5
2019,Puna,April,ACJ,B,1,Woody,Ericaceae,Pernettya,prostrata,Pernettya prostrata,1
2019,Puna,April,ACJ,B,1,Woody,Ericaceae,Vaccinium,floribundum,Vaccinium floribundum,6
2019,Puna,April,ACJ,B,1,Forb,Gentianaceae,Halenia,umbellata,Halenia umbellata,2
2019,Puna,April,ACJ,B,1,Woody,Hypericaceae,Hypericum,andinum,Hypericum andinum,1
2019,Puna,April,ACJ,B,1,Fern,Lycopodiaceae,Lycopodium,clavatum,Lycopodium clavatum,25
2019,Puna,April,ACJ,B,1,Woody,Melastomataceae,Miconia,rotundifolia,Miconia rotundifolia,0.5
2019,Puna,April,ACJ,B,1,Gramminoid,Poaceae,Agrostis,mertensii,Agrostis mertensii,1
2019,Puna,April,ACJ,B,1,Gramminoid,Poaceae,Calamagrostis,cf. amoena,Calamagrostis cf. amoena,1
2019,Puna,April,ACJ,B,1,Gramminoid,Poaceae,Calamagrostis,tarmensis,Calamagrostis tarmensis,50
2019,Puna,April,ACJ,B,1,Gramminoid,Poaceae,Festuca,dolichophylla,Festuca dolichophylla,5
2019,Puna,April,ACJ,B,1,Gramminoid,Poaceae,Paspalum,bonplandianum,Paspalum bonplandianum,15
2019,Puna,April,ACJ,B,1,Fern,Pteridaceae,Eriosorus,cheilanthoides,Eriosorus cheilanthoides,1
2019,Puna,April,ACJ,B,1,Forb,Rubiaceae,Nertera,granadensis,Nertera granadensis,1
