country,project,id,year,month,date,site,treatment,plot_id,functional_group,family,name_2020,genus,species,individual_nr,plant_height_cm,nr_leaves,bulk,wet_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,dry_mass_total_g,number_leaves_scan,leaf_area_total_cm2,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc,leaf_thickness_ave_mm,area_flag,dry_flag,wet_flag
PE,Puna,13-Jan,2019,November,2019-11-24,TRE,B,5,Forb,Asteraceae,Gamochaeta coarctata,Gamochaeta,coarctata,1,2.5,3,NA,0.056,0.255,0.238,0.225,0.019,5,3.729,0.0112,0.0038,0.7458,196.26315789473685,0.3392857142857143,0.23933333333333334,NA,NA,NA
PE,Puna,A,2019,April,2019-04-20,QUE,B,3,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,2,4,5,NA,0.095,0.38,0.398,0.342,0.059,5,3.321,0.019,0.0118,0.6642,56.28813559322034,0.6210526315789474,0.37333333333333335,NA,NA,NA
PE,Puna,AAD5960,2019,April,2019-04-10,ACJ,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,5,12,1,NA,0.28,0.451,0.463,0.448,0.035,1,5.5234,0.28,0.035,5.5234,157.81142857142854,0.125,0.454,NA,NA,NA
PE,Puna,AAE3544,2019,April,2019-04-10,ACJ,C,5,Forb,Orchidaceae,Pterichis sp1,Pterichis,sp1,2,15,1,NA,0.424,0.346,0.364,0.377,0.054,1,8.63,0.424,0.054,8.63,159.81481481481484,0.12735849056603774,0.36233333333333334,NA,NA,NA
PE,Puna,AAF5786,2019,April,2019-04-10,ACJ,C,1,Forb,Asteraceae,Senecio rhizomathus,Senecio,rhizomathus,5,3,1,NA,0.364,0.428,0.417,0.41,0.095,1,7.8418,0.364,0.095,7.8418,82.54526315789474,0.260989010989011,0.41833333333333333,NA,NA,NA
PE,Puna,AAV3725,2019,April,2019-04-10,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,2,19,6,NA,0.195,0.49,0.474,0.497,0.08,6,4.8659,0.0325,0.013333333333333334,0.8109833333333333,60.82374999999999,0.41025641025641024,0.487,NA,NA,NA
PE,Puna,AAW1440,2019,April,2019-04-10,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,3,33,6,NA,0.166,0.452,0.443,0.458,0.067,6,4.1849,0.02766666666666667,0.011166666666666667,0.6974833333333333,62.461194029850745,0.40361445783132527,0.451,NA,NA,NA
PE,Puna,AAX2204,2019,April,2019-04-10,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,5,35,4,NA,0.153,0.493,0.577,0.514,0.064,4,3.6009,0.03825,0.016,0.900225,56.2640625,0.41830065359477125,0.528,NA,NA,NA
PE,Puna,AAZ6777,2019,April,2019-04-10,ACJ,C,5,Woody,Ericaceae,Vaccinium floribundum,Vaccinium,floribundum,4,35,5,NA,0.176,0.534,0.552,0.55,0.082,5,4.0239,0.035199999999999995,0.0164,0.80478,49.071951219512194,0.465909090909091,0.5453333333333333,NA,NA,NA
PE,Puna,ABC5262,2019,April,2019-04-12,ACJ,B,2,Gramminoid,Poaceae,Calamagrostis tarmensis,Calamagrostis,tarmensis,3,42,2,NA,0.325,0.5,0.485,0.49,0.14,2,9.4689,0.1625,0.07,4.73445,67.63499999999999,0.4307692307692308,0.49166666666666664,NA,NA,NA
