id,country,year,project,treatment,site,elevation,latitude,longitude,gradient,plot_id,taxon,genus,species,date,individual_nr,plant_height_cm,wet_mass_total_g,leaf_thickness_ave_mm,leaf_area_total_cm2,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,bulk,nr_leaves,number_leaves_scan,area_flag,dry_flag,wet_flag,comment,dry_mass_total_g,wet_mass_g,dry_mass_g,leaf_area_cm2,sla_cm2_g,ldmc
AAA4667,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Werneria villosa,Werneria,villosa,2018-03-17T00:00:00Z,3,5,0.043,0.215666667,1.013,0.217,0.165,0.265,bulk,4,6,NA,NA,NA,NA,0.019,0.01075,0.00475,0.25325,53.31578947,0.441860465
AAC0068,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Alchemilla vulcanica,Alchemilla,vulcanica,NA,2,1,0.0668,0.015333333,3.431,0.0158,0.015,0.0152,bulk,10,13,NA,NA,NA,NA,0.033,0.00668,0.0033,0.3431,103.969697,0.494011976
AAH1610,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Baccharis caespitosa,Baccharis,caespitosa,NA,1,2,0.026,0.24,1.568,0.248,0.237,0.235,bulk,1,19,NA,NA,NA,NA,0.018,NA,NA,NA,NA,NA
AAI1053,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Oreithales integrifolia,Oreithales,integrifolia,NA,2,1,0.113,0.385666667,1.62,0.372,0.422,0.363,NA,1,1,NA,NA,NA,NA,0.033,0.113,0.033,1.62,49.09090909,0.292035398
AAJ1086,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Oreithales integrifolia,Oreithales,integrifolia,NA,1,2,0.103,0.025333333,3.038,0.03,0.026,0.02,NA,1,1,NA,NA,NA,NA,0.043,0.103,0.043,3.038,70.65116279,0.417475728
AAK3619,PE,2018,TRUE,C,ACJ,3487.7,-13.1761,-71.628834,1,2,Eriosorus cheilanthoides,Eriosorus,cheilanthoides,NA,1,42,1.238,0.731333333,15.2,0.596,0.971,0.627,NA,1,2,NA,NA,NA,Leaf in two parts,0.328,1.238,NA,15.2,NA,NA
AAL3102,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Oreithales integrifolia,Oreithales,integrifolia,NA,3,2,0.148,0.367333333,2.785,0.363,0.332,0.407,NA,1,2,NA,NA,NA,NA,0.043,0.148,0.043,2.785,64.76744186,0.290540541
AAM2067,PE,2018,TRUE,B,QUE,3889.8,-13.214146,-71.619396,1,4,Oreithales integrifolia,Oreithales,integrifolia,NA,4,1,0.151,0.375,2.651,0.371,0.407,0.347,NA,1,1,NA,NA,NA,NA,0.041,0.151,0.041,2.651,64.65853659,0.271523179
AAO3520,PE,2018,TRUE,C,ACJ,3487.7,-13.1761,-71.628834,1,2,Vaccinium floribundum,Vaccinium,floribundum,2018-03-18T00:00:00Z,1,44,0.206,0.426,NA,0.432,0.404,0.442,bulk,10,NA,NA,NA,NA,Leaf Area Box not ticked,0.101,NA,NA,NA,NA,NA
AAP8741,PE,2018,TRUE,C,ACJ,3487.7,-13.1761,-71.628834,1,2,Melpomene moniliformis,Melpomene,moniliformis,2018-03-18T00:00:00Z,2,24,0.577,0.306666667,13.382,0.298,0.318,0.304,NA,1,2,NA,NA,NA,NA,0.216,0.577,NA,13.382,NA,NA
