"site","year","month","day","plot","taxon","real_species_name","cover","fertile","seedling","observer","comment","habit","sampled"
"QUE",2020,3,12,"BB1","Agrostis_mertensii",NA,"+",1,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Antennaria_linearifolia",NA,"3",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Aphanactis_villosa",NA,"1",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Baccharis_caespitosa",NA,"4",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Gamochaeta_coarctata",NA,"1",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Calamagrostis_sp8",NA,"25",1,NA,"LVB, VV","Calamagrostis beauty",NA,1
"QUE",2020,3,12,"BB1","Carex_pichinchensis",NA,"8",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Cerastium_arvense",NA,"+",0,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Chaptalia_cordata",NA,"+",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Gentiana_sedifolia",NA,"+",1,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Geranium_filipes",NA,"+",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Hypericum_andinum",NA,"2",0,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Hypochaeris_taraxacoides",NA,"1",0,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Luzula_racemosa",NA,"2",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Calamagrostis_tarmensis",NA,NA,0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Oreomyrrhis_andicola",NA,"4",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Oxalis_oreocharis",NA,"1",0,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Paspalum_bonplandianum",NA,"20",0,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Perezia_pungens",NA,"+",1,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Pernettya_prostrata",NA,NA,0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Agrostis_foliata",NA,"4",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Viola_pymaea",NA,"1",0,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Werneria_nubigena",NA,"+",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Werneria_villosa",NA,"2",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Acaena_cylindristachya",NA,"+",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Bidens_triplinervia",NA,"+",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Bromus_lanatus",NA,"1",1,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Euphorbia_huanchahana",NA,"1",0,NA,"LVB, VV",NA,NA,1
"QUE",2020,3,12,"BB1","Festuca_sp3",NA,NA,0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Galium_corymbosum",NA,"+",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Hieracium_cf_mandonii",NA,"+",0,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Festuca_sp4",NA,"2",1,NA,"LVB, VV","Black and sharp",NA,0
"QUE",2020,3,12,"BB1","Pterichis_sp1",NA,"+",1,NA,"LVB, VV",NA,NA,0
"QUE",2020,3,12,"BB1","Vaccinium_floribundum",NA,"1",0,NA,"LVB, VV",NA,NA,1
