id,dry_weight_g,observations
CAE6952,0.051,NA
CAD2699,0.1295,NA
CAC7533,0.0482,NA
CAB6676,0.1136,NA
BZX6121,0.0543,NA
CAL2354,0.0416,NA
CAH6432,0.0616,NA
CAG0238,0.0733,NA
CAI9910,0.0686,NA
CAF5314,0.0205,NA
BZA2704,0.0114,NA
CAY6622,0.012,NA
CAV0380,0.0093,NA
CAU3244,0.0101,NA
BYY5473,0.0061,NA
BYB6857,0.005,NA
BYA3359,0.0046,NA
BYZ3594,0.0052,NA
BXZ2875,0.0065,NA
BYT6687,0.0063,NA
BYG7871,0.0073,NA
BYU2871,0.0056,NA
BYV2133,0.0068,NA
BYZ5952,0.0056,NA
BYM2497,0.0157,NA
BYN1146,0.0119,NA
BYK7047,0.0138,NA
BYJ7104,0.0159,NA
BYI3484,0.0115,NA
CAO8524,0.0367,NA
BZD4421,0.0397,NA
BZC3039,0.039,NA
CAR3559,0.0275,NA
CAQ2968,0.0398,NA
BZG3800,0.0314,NA
BZE9472,0.0404,NA
BZH3536,0.0406,NA
BZB2183,0.0158,NA
BZF1621,0.0149,NA
CYD9931,0.0146,NA
AJV4907,0.0204,NA
BUO6200,0.0207,NA
BUK1612,0.0203,NA
BUG0215,0.0175,NA
AJU4056,0.0127,NA
CBM2433,0.0135,NA
CBH3432,0.013,NA
CBL9965,0.012,NA
CBC2682,0.008,NA
CIZ2145,0.0905,NA
CKG0463,0.0571,NA
CJD9340,0.0952,NA
CJL9314,0.135,NA
CKN4272,0.125,NA
CAX0310,0.0062,NA
BYW5762,0.037,NA
CLB3392,0.0216,NA
CKX4090,0.0261,NA
CKQ2202,0.0223,NA
CKM6459,0.0183,NA
CKI3723,0.0262,NA
CKR1084,0.2039,NA
CKJ4817,0.1849,NA
CIY4513,0.2426,NA
CKF4385,0.1575,NA
CJS1572,0.0873,NA
CCC9000,0.1213,NA
CBY1745,0.1253,NA
CUB6632,0.1271,NA
CKS7460,0.1382,NA
CKK5734,0.1377,NA
CGP0623,0.0607,NA
CGT6536,0.0763,NA
CGX6443,0.0767,NA
CHB6398,0.08,NA
CKO5782,0.0715,NA
BYP4529,0.0129,NA
BYQ5420,0.0135,NA
BYO7151,0.0145,NA
BYR4663,0.0115,NA
BYH1355,0.0138,NA
CBI7029,0.0124,NA
CBB7539,0.0104,NA
CBK5499,0.0089,NA
CDK4261,0.0117,NA
CGY4377,0.0153,NA
CDP3189,0.0571,NA
CAW9605,0.0469,NA
CDS3004,0.0543,NA
CAS0411,0.0365,NA
CDR9450,0.0405,NA
CDU6030,0.0403,NA
CDQ3517,0.0123,NA
AJH6752,0.0373,NA
CFL6675,0.0382,NA
CFP4042,NA,no leaf
CFT4557,0.0534,NA
CFX6582,0.0375,NA
AOL7222,0.0337,NA
AOP1817,0.0358,NA
BZW7542,0.0194,NA
CFU4917,0.0198,NA
CFQ2666,0.0199,NA
CFM7012,0.0206,NA
CFI4619,0.0196,NA
CFH3622,0.0195,NA
CEI0308,0.0197,NA
CEM4656,0.0184,NA
CBZ1867,0.1007,NA
CCH3517,0.0808,NA
CCL3743,0.0473,NA
CCP1146,0.05588,NA
CCT1928,0.071,NA
CCX3225,0.0686,NA
CDF2202,0.0298,NA
BXY8812,0.0907,NA
BYL4944,0.0499,NA
