id,day,site,elevation,genus,species,project,experiment,plot_id,individual_nr,leaf_nr,plant_height_cm,plant_length_cm,bulk_nr_leaves,length_cm,wet_mass_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,remark,notes1,notes2
ADZ1845,12,ACJ,NA,Halenia,umbellata,T,C,1,1,NA,6.5,10.5,NA,NA,0.068,0.332,0.336,0.512,NA,NA,NA
ADY3452,12,ACJ,NA,Lachemilla,arbiculata,T,C,5,1,3,7,NA,NA,NA,0.155,0.285,0.29,0.278,NA,NA,NA
AEO9502,12,ACJ,NA,Lachemilla,arbiculata,T,C,5,2,1,9,NA,NA,NA,0.217,0.35,0.28,0.287,NA,NA,NA
AAE4190,12,ACJ,NA,Lachemilla,arbiculata,T,C,5,1,1,7,NA,NA,NA,0.123,0.299,0.273,0.266,NA,NA,NA
AEP3671,12,ACJ,NA,Lachemilla,arbiculata,T,C,5,2,3,9,NA,NA,NA,0.137,0.305,0.341,0.246,NA,NA,NA
AUZ0851,12,ACJ,NA,Lachemilla,arbiculata,T,C,5,1,4,7,NA,NA,NA,0.145,0.257,0.309,0.31,NA,NA,NA
AEC5667,12,ACJ,NA,Halenia,umbellata,T,C,2,1,3,22.5,NA,NA,NA,0.033,0.237,0.25,0.292,NA,NA,NA
AVU1713,12,ACJ,NA,Lachemilla,arbiculata,T,C,2,2,1,9,NA,NA,NA,0.098,0.251,0.242,0.253,NA,NA,NA
ATO7404,12,ACJ,NA,Halenia,umbellata,T,C,4,2,4,9.5,NA,NA,NA,0.076,0.267,0.26,NA,NA,NA,NA
AUF2369,12,ACJ,NA,Halenia,umbellata,T,C,4,2,1,9.5,NA,NA,NA,0.085,0.291,0.278,NA,NA,NA,NA
ATK1879,12,ACJ,NA,Halenia,umbellata,T,C,4,2,3,9.5,NA,NA,NA,0.072,0.262,0.256,NA,NA,NA,NA
ADJ9799,12,ACJ,NA,Lachemilla,arbiculata,T,C,2,1,5,6.5,NA,NA,NA,0.11,0.281,0.26,NA,NA,NA,NA
AES2395,12,ACJ,NA,Lachemilla,arbiculata,T,C,5,3,3,4,NA,NA,NA,0.051,0.249,0.25,NA,NA,NA,NA
AVV3560,12,ACJ,NA,Lachemilla,arbiculata,T,C,2,2,2,9,NA,NA,NA,0.159,0.298,0.291,NA,NA,NA,NA
ADI7562,12,ACJ,NA,Lachemilla,arbiculata,T,C,2,1,4,6.5,NA,NA,NA,0.133,0.273,0.305,NA,NA,NA,NA
AUB2849,12,ACJ,NA,Halenia,umbellata,T,C,3,3,4,18,NA,NA,NA,0.066,0.219,0.215,NA,NA,NA,NA
AEV1251,12,ACJ,NA,Halenia,umbellata,T,C,4,3,5,18,NA,NA,NA,0.068,0.216,0.22,NA,NA,NA,NA
ATX9292,12,ACJ,NA,Halenia,umbellata,T,C,1,1,NA,6.5,10.5,NA,NA,0.042,0.282,0.293,NA,NA,NA,NA
ATJ5219,12,ACJ,NA,Halenia,umbellata,T,C,1,1,NA,6.5,10.5,NA,NA,0.047,0.249,0.247,NA,NA,NA,NA
AAH3401,12,ACJ,NA,Halenia,umbellata,T,C,1,1,NA,6.5,NA,NA,NA,0.029,0.22,0.23,NA,NA,NA,NA
ATS6341,12,ACJ,NA,Halenia,umbellata,T,C,4,3,1,18,NA,NA,NA,0.068,0.21,0.208,NA,NA,NA,NA
AVA2500,12,ACJ,NA,Lachemilla,arbiculata,T,C,5,1,5,7,NA,NA,NA,0.132,0.368,0.326,NA,NA,NA,NA
ABG6775,12,ACJ,NA,Halenia,umbellata,T,C,3,3,2,9.6,NA,NA,NA,0.032,0.193,0.211,0.225,NA,NA,NA
ACE7565,12,ACJ,NA,Halenia,umbellata,T,C,3,3,1,9.6,NA,NA,NA,0.052,0.253,0.268,NA,NA,NA,NA
ADP7756,12,ACJ,NA,Halenia,umbellata,T,C,1,2,1,11.8,NA,NA,NA,0.088,0.232,0.264,0.262,NA,NA,NA
ABK6774,12,ACJ,NA,Halenia,umbellata,T,C,1,2,4,10.8,NA,NA,NA,0.075,0.267,0.267,NA,NA,NA,NA
AVM7408,12,ACJ,NA,Halenia,umbellata,T,C,5,1,1,7.3,NA,NA,NA,0.062,0.205,0.224,0.242,NA,NA,NA
AVO3151,12,ACJ,NA,Halenia,umbellata,T,C,5,1,3,7.3,NA,NA,NA,0.061,0.222,0.237,0.242,NA,NA,NA
ABI2402,12,ACJ,NA,Halenia,umbellata,T,C,3,3,5,9.6,NA,NA,NA,0.034,0.202,0.212,0.221,NA,NA,NA
AIG2220,12,ACJ,NA,Eriosorus,cheilanthoides,T,C,5,2,NA,36.7,NA,NA,NA,0.72,0.369,0.407,0.271,NA,NA,NA
AIF7328,12,ACJ,NA,Eriosorus,cheilanthoides,T,C,5,1,NA,35.3,NA,NA,NA,0.814,0.356,0.297,0.308,NA,NA,NA
BIU3645,12,ACJ,NA,Gaultheria,glomerata,T,C,4,3,5,10,NA,NA,NA,0.067,0.633,0.564,0.47,NA,NA,NA
BIA2849,12,ACJ,NA,Gaultheria,glomerata,T,C,4,3,1,10,NA,NA,NA,0.172,0.545,0.557,0.603,NA,NA,NA
BIQ0144,12,ACJ,NA,Gaultheria,glomerata,T,C,3,1,2,19.4,NA,NA,NA,0.221,0.569,0.583,0.558,NA,NA,NA
BIV5629,12,ACJ,NA,Gaultheria,glomerata,T,C,3,1,1,19.4,NA,NA,NA,0.245,0.676,0.747,0.645,NA,NA,NA
AIH7326,12,ACJ,NA,Eriosorus,cheilanthoides,T,C,5,3,NA,42,NA,NA,NA,1.001,0.631,0.523,0.337,NA,NA,NA
BHW0704,12,ACJ,NA,Gaultheria,glomerata,T,C,3,2,2,4.6,NA,NA,NA,0.149,0.559,0.54,0.56,NA,NA,NA
AXA3752,12,ACJ,NA,Pernettya,postrata,Trait,C,4,2,NA,37,NA,5,NA,0.072,0.561,0.477,0.522,NA,NA,NA
BXN4458,12,QUE,NA,Carex,pichinchensis,Trait,BB,2,4,NA,10.9,NA,NA,NA,0.13,0.236,0.23,0.195,NA,NA,NA
BXB4580,12,QUE,NA,Carex,pichinchensis,Trait,BB,2,1,NA,10.2,NA,NA,NA,0.116,0.254,0.214,0.239,NA,NA,NA
AXS7546,12,QUE,NA,Vaccinium,floribundum,Trait,BB,2,4,NA,1.8,NA,5,NA,0.042,0.431,0.475,0.417,NA,NA,NA
BXJ8297,12,QUE,NA,Carex,pichinchensis,Trait,BB,2,3,NA,9.5,NA,NA,NA,0.134,0.254,0.233,0.236,NA,NA,NA
AHF0820,12,QUE,NA,Poa,spicata,Trait,BB,1,5,NA,5.4,NA,3,NA,0.022,0.268,0.294,0.256,NA,NA,NA
AIK3112,12,QUE,NA,Rynchospora,macrochaeta,Trait,BB,4,1,NA,13.2,16.9,NA,NA,0.141,0.253,0.235,0.196,NA,NA,NA
AZC5871,12,QUE,NA,Poa,spicata,Trait,BB,1,3,NA,6.6,NA,3,NA,0.013,0.195,0.205,0.189,NA,NA,NA
AZB8052,12,QUE,NA,Poa,spicata,Trait,BB,1,2,NA,11.3,NA,3,NA,0.021,0.198,0.159,0.141,NA,NA,NA
AJX5756,12,QUE,NA,Gamochaeta,coarctata,Trait,BB,1,1,NA,6.5,NA,2,NA,0.041,0.15,0.223,0.234,NA,NA,NA
BXW5713,12,QUE,NA,Festuca,sharp,Trait,BB,2,2,NA,19,NA,NA,NA,0.101,0.426,0.47,0.446,NA,NA,NA
BXV7981,12,QUE,NA,Festuca,sharp,Trait,BB,2,1,NA,18,NA,NA,NA,0.089,0.665,0.677,0.722,NA,NA,NA
BXA4854,12,QUE,NA,Festuca,sharp,Trait,BB,2,3,NA,18,NA,NA,NA,0.086,0.587,0.541,0.632,NA,NA,NA
AFN3047,12,QUE,NA,Agrostis,tricoides,Trait,BB,2,2,NA,5,NA,9,NA,0.029,0.157,0.134,0.127,NA,NA,NA
BVC5384,12,QUE,NA,Calamagrostis,7,Trait,BB,4,1,NA,7,NA,4,NA,0.043,0.29,0.257,0.296,NA,NA,NA
AZE5327,12,QUE,NA,Antennaria,linearifolia,Trait,BB,2,1,NA,1,NA,3,NA,0.052,0.186,0.226,0.191,NA,NA,NA
BDL4865,12,QUE,NA,Baccharis,caespitosa,Trait,BB,1,1,NA,1.3,NA,10,NA,0.019,0.119,0.3,0.248,NA,NA,NA
BBU6966,12,QUE,NA,Baccharis,caespitosa,Trait,BB,2,2,NA,0.7,NA,10,NA,0.017,0.261,0.223,0.263,NA,NA,NA
BJQ7085,12,QUE,NA,Aphanactis,villosa,Trait,BB,3,1,NA,1.1,NA,6,NA,0.15,0.189,0.214,0.165,NA,NA,NA
BKK5041,12,QUE,NA,Oxalis,oreocharis,Trait,BB,1,3,NA,4,3,3,NA,0.062,0.244,0.266,0.236,NA,NA,NA
AIS5021,12,QUE,NA,Oxalis,oreocharis,Trait,BB,1,2,NA,5,2,3,NA,0.046,0.204,0.204,0.194,NA,NA,NA
BUI3314,12,QUE,NA,Luzula,racemosa,Trait,BB,1,2,NA,7.8,NA,3,NA,0.07,0.239,0.264,0.258,NA,NA,NA
BVH0912,12,QUE,NA,Agrostis,foliata,Trait,BB,1,2,NA,10,NA,2,NA,0.023,0.184,0.209,0.163,NA,NA,NA
BVD4631,12,QUE,NA,Agrostis,foliata,Trait,BB,1,3,NA,12,NA,NA,NA,0.018,0.153,0.164,0.151,NA,NA,NA
ABF2214,12,ACJ,NA,Halenia,umbellata,T,C,3,2,5,8.8,NA,NA,NA,0.069,0.297,0.304,0.315,NA,NA,NA
AVR0480,12,ACJ,NA,Lachemilla,orbiculata,T,C,4,2,4,2,NA,NA,NA,0.12,0.266,0.263,NA,NA,NA,NA
ACY7408,12,ACJ,NA,Lachemilla,orbiculata,T,C,4,2,2,2,NA,NA,NA,0.15,0.308,0.324,0.299,NA,NA,NA
