site,year,month,day,treatment,plot_id,taxon,cover,fertile,seedling,observer,note_cover
WAY,2019,April,6,B,1,Agrostis sp2,5,1,0,LVB,NA
WAY,2019,April,6,B,1,Baccharis tricuneata,0.5,0,0,LVB,NA
WAY,2019,April,6,B,1,Brachiotum pubecente,0.5,0,0,LVB,NA
WAY,2019,April,6,B,1,Calamagrostis beauty hairy,5,0,0,LVB,NA
WAY,2019,April,6,B,1,Carex pedunculado largo,1,1,0,LVB,NA
WAY,2019,April,6,B,1,Cyrtochilum mystacinum,1,0,0,LVB,NA
WAY,2019,April,6,B,1,Eriosorus cheilanthoides,5,1,0,LVB,NA
WAY,2019,April,6,B,1,Festuca blue,5,1,0,LVB,NA
WAY,2019,April,6,B,1,Gaultheria glomerata,4,1,0,LVB,NA
WAY,2019,April,6,B,1,Gnaphalium dombeyanum,0.5,1,0,LVB,NA
WAY,2019,April,6,B,1,Halenia umbellata,1,0,0,LVB,NA
WAY,2019,April,6,B,1,Lycopodiella cernua,40,1,0,LVB,NA
WAY,2019,April,6,B,1,Myrsine sp1,1,0,0,LVB,NA
WAY,2019,April,6,B,1,Pterichis sp1,0.5,0,0,LVB,NA
WAY,2019,April,6,B,1,Rhynchospora brillante,0.5,0,0,LVB,NA
WAY,2019,April,6,B,1,Senecio pegajoso,15,0,0,LVB,NA
WAY,2019,April,6,B,1,Sisyrinchium vaginatum,0.5,1,0,LVB,NA
WAY,2019,April,6,B,1,Stevia small,1,1,0,LVB,podria ser Stevia cuzcoensis
WAY,2019,April,6,B,1,Stipa,10,0,0,LVB,Aspera
WAY,2019,April,6,B,2,Calamagrostis beauty hairy,22,0,0,LVB,incluye cal sp2 (2%)
WAY,2019,April,6,B,2,Carex pedunculado largo,5,1,0,LVB,NA
WAY,2019,April,6,B,2,Elaphoglossum huacsaro,1,0,0,LVB,NA
WAY,2019,April,6,B,2,Eriosorus cheilanthoides,0.5,0,0,LVB,NA
WAY,2019,April,6,B,2,Festuca blue,10,1,0,LVB,NA
WAY,2019,April,6,B,2,Gnaphalium dombeyanum,1,0,0,LVB,NA
WAY,2019,April,6,B,2,Gomphichis sp1,0.5,0,0,LVB,NA
WAY,2019,April,6,B,2,Halenia umbellata,1,0,1,LVB,NA
WAY,2019,April,6,B,2,Lycopodiella cernua,15,1,0,LVB,NA
WAY,2019,April,6,B,2,Lycopodium clavatum,3,0,0,LVB,NA
WAY,2019,April,6,B,2,Nertera granadensis,5,0,0,LVB,NA
WAY,2019,April,6,B,2,Pterichis sp1,1,0,0,LVB,NA
WAY,2019,April,6,B,2,Senecio pegajoso,0.5,0,0,LVB,NA
WAY,2019,April,6,B,2,Sisyrinchium vaginatum,0.5,1,0,LVB,NA
WAY,2019,April,6,B,2,Stevia small,1,1,0,LVB,podria ser Stevia cuzcoensis
WAY,2019,April,6,B,2,Stipa,20,0,0,LVB,NA
WAY,2019,April,6,B,3,Calamagrostis beauty hairy,2,1,0,LVB,en_flores
WAY,2019,April,6,B,3,Carex ecuadorica,1,0,0,LVB,fino
WAY,2019,April,6,B,3,Carex pedunculado largo,0.5,0,0,LVB,NA
WAY,2019,April,6,B,3,Cyrtochilum mystacinum,1,0,0,LVB,NA
WAY,2019,April,6,B,3,Festuca blue,7,1,0,LVB,NA
WAY,2019,April,6,B,3,Gaultheria glomerata,0.5,0,0,LVB,NA
WAY,2019,April,6,B,3,Gnaphalium dombeyanum,0.5,0,0,LVB,NA
WAY,2019,April,6,B,3,Halenia umbellata,1,0,0,LVB,NA
WAY,2019,April,6,B,3,Hieracium sp1,0.5,0,0,LVB,NA
WAY,2019,April,6,B,3,Lycopodiella cernua,10,1,0,LVB,NA
WAY,2019,April,6,B,3,Lycopodium clavatum,3,0,0,LVB,NA
WAY,2019,April,6,B,3,Not stipa,30,0,0,LVB,NA
WAY,2019,April,6,B,3,Paspalum bonplandianum,0.5,0,0,LVB,NA
WAY,2019,April,6,B,3,Pterichis sp1,0.5,0,0,LVB,NA
WAY,2019,April,6,B,3,Rhynchospora brillante,5,0,0,LVB,NA
WAY,2019,April,6,B,3,Senecio pegajoso,3,0,0,LVB,NA
WAY,2019,April,6,B,3,Stipa,20,0,0,LVB,NA
WAY,2019,April,6,B,4,Agrostis sp2,5,1,0,LVB,NA
WAY,2019,April,6,B,4,Alchemilla orbiculata,0.5,0,0,LVB,NA
WAY,2019,April,6,B,4,Calamagrostis beauty hairy,10,1,0,LVB,en_flores
WAY,2019,April,6,B,4,Carex pedunculado largo,3,1,0,LVB,NA
WAY,2019,April,6,B,4,Eriosorus cheilanthoides,0.5,0,0,LVB,NA
WAY,2019,April,6,B,4,Festuca blue,8,1,0,LVB,NA
