id,year,date,month,site,treatment,plot_id,taxon,plant_height_cm,individual_nr,nr_leaves,bulk,wet_mass_total_g,dry_mass_total_g,leaf_thickness_1_mm,leaf_thickness_2_mm,leaf_thickness_3_mm,leaf_area_total_cm2,number_leaves_scan
13-Jan,2019,2019-11-24T00:00:00Z,November,TRE,B,5,Gamochaeta americana,2.5,1,3,"NA",0.056,0.019,0.255,0.238,0.225,3.729,5
A,2019,2019-04-20T00:00:00Z,April,QUE,C,3,Vaccinium floribundum,4,2,5,"NA",0.095,0.059,0.38,0.398,0.342,3.321,5
AAD5960,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Pterichis sp1,12,5,1,"NA",0.28,0.035,0.451,0.463,0.448,5.5234,1
AAE3544,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Pterichis sp1,15,2,1,"NA",0.424,0.054,0.346,0.364,0.377,8.63,1
AAF5786,2019,2019-04-10T00:00:00Z,April,ACJ,C,1,Senecio rhizomatosus,3,5,1,"NA",0.364,0.095,0.428,0.417,0.41,7.8418,1
AAV3725,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Vaccinium floribundum,19,2,6,"NA",0.195,0.08,0.49,0.474,0.497,4.8659,6
AAW1440,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Vaccinium floribundum,33,3,6,"NA",0.166,0.067,0.452,0.443,0.458,4.1849,6
AAX2204,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Vaccinium floribundum,35,5,4,"NA",0.153,0.064,0.493,0.577,0.514,3.6009,4
AAZ6777,2019,2019-04-10T00:00:00Z,April,ACJ,C,5,Vaccinium floribundum,35,4,5,"NA",0.176,0.082,0.534,0.552,0.55,4.0239,5
ABC5262,2019,2019-04-12T00:00:00Z,April,ACJ,B,2,Not stipa softer,42,3,2,"NA",0.325,0.14,0.5,0.485,0.49,9.4689,2
