month,site,treatment,plot_id,functional_group,family,taxon,name_2020,notes
July,ACJ,NB,1,Forb,Apiaceae,Niphogetum dissecta,Niphogeton dissecta,NA
July,ACJ,NB,1,Fern,Blechnaceae,Blechnum auratum,Blechnum auratum,NA
July,ACJ,NB,1,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
July,ACJ,NB,1,Gramminoid,Poaceae,Not stipa,Calamagrostis tarmensis,NA
July,ACJ,NB,1,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,NA
July,ACJ,NB,1,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
July,ACJ,NB,1,Gramminoid,Poaceae,Festuca blue,Festuca dolichophylla,NA
July,ACJ,NB,1,Fern,Pteridaceae,Jamesonia alstonii,Jamesonia blepharum,NA
July,ACJ,NB,1,Gramminoid,Cyperaceae,Carex tristicha,Carex pygmaea,NA
July,ACJ,NB,1,Gramminoid,Cyperaceae,Oreobolus sp1,Oreobolus goeppingeri,NA
July,ACJ,NB,1,Gramminoid,Poaceae,Cortaderia peluda,Cortaderia bifida,NA
July,ACJ,NB,1,Forb,Eriocaulaceae,Paepalanthus carynauta,Eriocaulon microcephalum,NA
July,ACJ,NB,4,Gramminoid,Poaceae,Not stipa,Calamagrostis tarmensis,NA
July,ACJ,NB,4,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,NA
July,ACJ,NB,4,Gramminoid,Poaceae,Cortaderia peluda,Cortaderia bifida,NA
July,ACJ,NB,4,Woody,Ericaceae,Pernettya prostrata,Pernettya prostrata,NA
July,ACJ,NB,4,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
July,ACJ,NB,5,Gramminoid,Poaceae,Cortaderia aserrada,Cortaderia hapalotricha,NA
July,ACJ,NB,5,Gramminoid,Poaceae,Not stipa,Calamagrostis tarmensis,NA
July,ACJ,NB,5,Woody,Asteraceae,Diplostephium sp1,Diplostephium cf. haenkei,NA
July,ACJ,NB,2,Gramminoid,Poaceae,Not stipa,Calamagrostis tarmensis,NA
July,ACJ,NB,2,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
July,ACJ,NB,2,Fern,Pteridaceae,Eriosorus cheilanthoides,Eriosorus cheilanthoides,NA
July,ACJ,NB,2,Gramminoid,Poaceae,Festuca blue,Festuca dolichophylla,NA
July,ACJ,NB,2,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,NA
July,ACJ,NB,2,Woody,Melastomataceae,Miconia rotundifolia,Miconia rotundifolia,NA
July,ACJ,NB,3,Gramminoid,Poaceae,Cortaderia peluda,Cortaderia bifida,NA
July,ACJ,NB,3,Fern,Pteridaceae,Jamesonia alstonii,Jamesonia blepharum,NA
July,ACJ,NB,3,Gramminoid,Cyperaceae,Rhynchospora macrochaeta,Rhynchospora macrochaeta,NA
July,ACJ,NB,3,Fern,Lycopodiaceae,Lycopodium clavatum,Lycopodium clavatum,NA
July,ACJ,NB,3,Gramminoid,Poaceae,Not stipa,Calamagrostis tarmensis,NA
July,WAY,B,1,Forb,Asteraceae,Hieracium sp1,Hieracium cf. mandonii,NA
July,WAY,B,2,Forb,Orchidaceae,Cyrtochilum mystacinum,Cyrtochilum mystacinum,NA
July,WAY,B,2,Forb,Asteraceae,Bidens triplinervia,Bidens triplinervia,NA
