site,month,treatment,plot_id,functional_group,family,taxon,name_2020,note_taxonomy
WAY,April,B,1,Gramminoid,Poaceae,Agrostis Sp2,Agrostis mertensii,NA
WAY,April,B,1,Woody,Asteraceae,Baccharis Tricuneata,Baccharis tricuneata,NA
WAY,April,B,1,Woody,Melastomataceae,Brachiotum Pubecente,Brachyotum grisebachii,NA
WAY,April,B,1,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,April,B,1,Gramminoid,Cyperaceae,Carex Pedunculado Largo,Carex cf. crinalis,NA
WAY,April,B,1,Forb,Orchidaceae,Cyrtochilum Mystacinum,Cyrtochilum mystacinum,NA
WAY,April,B,1,Fern,Pteridaceae,Eriosorus Cheilanthoides,Eriosorus cheilanthoides,NA
WAY,April,B,1,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,April,B,1,Woody,Ericaceae,Gaultheria Glomerata,Gaultheria glomerata,NA
WAY,April,B,1,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,April,B,1,Forb,Gentianaceae,Halenia Umbellata,Halenia umbellata,NA
WAY,April,B,1,Fern,Lycopodiaceae,Lycopodiella Cernua,Lycopodium thyoides,NA
WAY,April,B,1,Woody,Primulaceae,Myrsine Sp1,Myrsine coriacea,NA
WAY,April,B,1,Forb,Orchidaceae,Pterichis Sp1,Pterichis sp1,NA
WAY,April,B,1,Gramminoid,Cyperaceae,Rhynchospora Brillante,Rhynchospora aristata,NA
WAY,April,B,1,Forb,Asteraceae,Senecio Pegajoso,Senecio burkartii,NA
WAY,April,B,1,Forb,Iridaceae,Sisyrinchium Vaginatum,Sisyrinchium vaginatum,NA
WAY,April,B,1,Forb,Asteraceae,Stevia Small,Stevia pennellii,NA
WAY,April,B,1,Gramminoid,Poaceae,Stipa,Calamagrostis rigida,NA
WAY,April,B,2,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,April,B,2,Gramminoid,Cyperaceae,Carex Pedunculado Largo,Carex cf. crinalis,NA
WAY,April,B,2,Fern,Dryopteridaceae,Elaphoglossum Huacsaro,Elaphoglossum huacsaro,NA
WAY,April,B,2,Fern,Pteridaceae,Eriosorus Cheilanthoides,Eriosorus cheilanthoides,NA
WAY,April,B,2,Gramminoid,Poaceae,Festuca Blue,Festuca dolichophylla,NA
WAY,April,B,2,Forb,Asteraceae,Gnaphalium Dombeyanum,Gnaphalium dombeyanum,NA
WAY,April,B,2,Forb,Orchidaceae,Gomphichis Sp1,Gomphichis valida,NA
WAY,April,B,2,Forb,Gentianaceae,Halenia Umbellata,Halenia umbellata,NA
WAY,April,B,2,Fern,Lycopodiaceae,Lycopodiella Cernua,Lycopodium thyoides,NA
WAY,April,B,2,Fern,Lycopodiaceae,Lycopodium Clavatum,Lycopodium clavatum,NA
WAY,April,B,2,Forb,Rubiaceae,Nertera Granadensis,Nertera granadensis,NA
WAY,April,B,2,Forb,Orchidaceae,Pterichis Sp1,Pterichis sp1,NA
WAY,April,B,2,Forb,Asteraceae,Senecio Pegajoso,Senecio burkartii,NA
WAY,April,B,2,Forb,Iridaceae,Sisyrinchium Vaginatum,Sisyrinchium vaginatum,NA
WAY,April,B,2,Forb,Asteraceae,Stevia Small,Stevia pennellii,NA
WAY,April,B,2,Gramminoid,Poaceae,Stipa,Calamagrostis rigida,NA
WAY,April,B,3,Gramminoid,Poaceae,Calamagrostis Beauty Hairy,Danthonia secundiflora,NA
WAY,April,B,3,Gramminoid,Cyperaceae,Carex Ecuadorica,Carex bonplandii,NA
WAY,April,B,3,Gramminoid,Cyperaceae,Carex Pedunculado Largo,Carex cf. crinalis,NA
