ID,LeafArea
2020-03-14-743_WAY_PABO_1_AT.jpeg.txt.Area1,2.267
2020-03-14-743_WAY_PABO_1_AT.jpeg.txt.Area2,1.435
2020-03-14-743_WAY_PABO_1_AT.jpeg.txt.Area3,2.049
2020-03-14-743_WAY_PABO_2_AT.jpeg.txt.Area1,0.34
2020-03-14-743_WAY_PABO_2_AT.jpeg.txt.Area2,2.296
2020-03-14-743_WAY_PABO_2_AT.jpeg.txt.Area3,1.652
2020-03-14-743_WAY_PABO_2_AT.jpeg.txt.Area4,1.849
2020-03-14-743-WAY_PAR0_3.jpeg.txt.Area1,1.41
2020-03-14-743-WAY_PAR0_3.jpeg.txt.Area2,1.298
2020-03-14-743-WAY_PAR0_3.jpeg.txt.Area3,1.192
2020-03-14-743-WAY_PAR0_3.jpeg.txt.Area4,1.434
AJH6752.jpeg.txt.Area1,2.66
AJH6752.jpeg.txt.Area2,0.006
AJH6752.jpeg.txt.Area3,0.032
AJH6752.jpeg.txt.Area4,0.076
AJH6752.jpeg.txt.Area5,0.006
AJN5736.jpeg.txt.Area1,2.325
AJN5736.jpeg.txt.Area2,0.007
AMY4078.jpeg.txt.Area1,1.05
AMY4078.jpeg.txt.Area2,0.005
AMZ0187.jpeg.txt.Area1,6.855
AMZ0187.jpeg.txt.Area2,6.626
ANB5703.jpeg.txt.Area,1.856
ANC4641.jpeg.txt.Area,0.994
AND4626.jpeg.txt.Area1,8.264
AND4626.jpeg.txt.Area2,4.564
ANF1645.jpeg.txt.Area,2.475
ANG3568.jpeg.txt.Area1,2.015
ANG3568.jpeg.txt.Area2,0.008
ANH5850.jpeg.txt.Area1,6.337
ANH5850.jpeg.txt.Area2,0.006
ANH5850.jpeg.txt.Area3,9.942
ANK0018.jpeg.txt.Area,1.743
ANO0763.jpeg.txt.Area,1.449
ANP7683.jpeg.txt.Area,7.71
ANS5168.jpeg.txt.Area1,1.651
ANS5168.jpeg.txt.Area2,0.005
ANT1261.jpeg.txt.Area1,4.54
ANT1261.jpeg.txt.Area2,8.669
ANT1261.jpeg.txt.Area3,9.585
ANW8854.jpeg.txt.Area,2.655
ANX6046.jpeg.txt.Area1,6.149
ANX6046.jpeg.txt.Area2,6.321
AOA7789.jpeg.txt.Area1,1.082
AOA7789.jpeg.txt.Area2,0.005
AOB9208.jpeg.txt.Area1,13.211
AOB9208.jpeg.txt.Area2,5.526
AOE1390.jpeg.txt.Area,3.027
AOF3079.jpeg.txt.Area1,14.774
AOF3079.jpeg.txt.Area2,5.612
AOI8001.jpeg.txt.Area,3.271
AOK9318.jpeg.txt.Area1,3.62
AOK9318.jpeg.txt.Area2,0.006
AOM2689.jpeg.txt.Area,3.356
AOO6679.jpeg.txt.Area1,3.471
AOO6679.jpeg.txt.Area2,0.006
AOQ4974.jpeg.txt.Area1,5.04
AOQ4974.jpeg.txt.Area2,4.215
AOS8317.jpeg.txt.Area1,3.44
AOS8317.jpeg.txt.Area2,0.006
AOT7539.jpeg.txt.Area1,2.253
AOT7539.jpeg.txt.Area2,0.006
AOT7539.jpeg.txt.Area3,0.005
AOU5634.jpeg.txt.Area,1.305
AOV9184.jpeg.txt.Area1,0.016
AOV9184.jpeg.txt.Area2,0.019
AOV9184.jpeg.txt.Area3,1.937
AOW1278.jpeg.txt.Area1,2.404
AOW1278.jpeg.txt.Area2,0.007
AOX1105.jpeg.txt.Area,2.344
AOY4173.jpeg.txt.Area1,0.015
AOY4173.jpeg.txt.Area2,0.013
AOY4173.jpeg.txt.Area3,1.729
AOZ3059.jpeg.txt.Area,2.135
APA0204.jpeg.txt.Area,1.576
APB5067.jpeg.txt.Area1,0.017
APB5067.jpeg.txt.Area2,0.022
APB5067.jpeg.txt.Area3,0.933
APD0931.jpeg.txt.Area,2.041
APF2990.jpeg.txt.Area,2.435
APH0115.jpeg.txt.Area,1.955
APJ5344.jpeg.txt.Area,1.288
APL1327.jpeg.txt.Area,1.061
APM3849.jpeg.txt.Area,2.647
APN9462.jpeg.txt.Area1,0.007
APN9462.jpeg.txt.Area2,0.006
APN9462.jpeg.txt.Area3,0.032
APN9462.jpeg.txt.Area4,3.533
APN9462.jpeg.txt.Area5,1.642
APN9462.jpeg.txt.Area6,0.692
APN9462.jpeg.txt.Area7,0.909
APN9462.jpeg.txt.Area8,0.9
APN9462.jpeg.txt.Area9,2.068
APN9462.jpeg.txt.Area10,1.046
APN9462.jpeg.txt.Area11,0.013
APN9462.jpeg.txt.Area12,0.013
APO8208.jpeg.txt.Area1,0.012
APO8208.jpeg.txt.Area2,1.953
APO8208.jpeg.txt.Area3,0.008
APO8208.jpeg.txt.Area4,0.026
APO8208.jpeg.txt.Area5,0.006
APP1533.jpeg.txt.Area,0.848
APQ5417.jpeg.txt.Area,2.677
APR2616.jpeg.txt.Area1,1.633
APR2616.jpeg.txt.Area2,0.006
APS3068.jpeg.txt.Area1,0.013
APS3068.jpeg.txt.Area2,1.965
APS3068.jpeg.txt.Area3,0.005
APS3068.jpeg.txt.Area4,0.025
APS3068.jpeg.txt.Area5,0.005
APT4506.jpeg.txt.Area,0.837
APU4440.jpeg.txt.Area1,0.005
APU4440.jpeg.txt.Area2,1.713
APV6509.jpeg.txt.Area1,0.765
APV6509.jpeg.txt.Area2,0.005
APW1977.jpeg.txt.Area1,4.132
APW1977.jpeg.txt.Area2,0.813
APW1977.jpeg.txt.Area3,2.487
APW1977.jpeg.txt.Area4,2.973
APW1977.jpeg.txt.Area5,2.232
APW1977.jpeg.txt.Area6,1.841
APW1977.jpeg.txt.Area7,3.489
APW1977.jpeg.txt.Area8,1.759
APX5383.jpeg.txt.Area,1.025
APY5967.jpeg.txt.Area1,2.501
APY5967.jpeg.txt.Area2,0.006
APZ0064.jpeg.txt.Area1,1.758
APZ0064.jpeg.txt.Area2,0.008
