ID,LeafArea
AFP2671.jpeg.txt.Area1,1.863
AFP2671.jpeg.txt.Area2,1.85
AFR0503.jpeg.txt.Area1,1.568
AFR0503.jpeg.txt.Area2,1.385
AFR0503.jpeg.txt.Area3,1.185
AFR0503.jpeg.txt.Area4,1.018
AFR0503.jpeg.txt.Area5,1.474
AFS6587.jpeg.txt.Area,1.481
AFU4318.jpeg.txt.Area1,0.639
AFU4318.jpeg.txt.Area2,0.467
AFU4318.jpeg.txt.Area3,0.658
AFU4318.jpeg.txt.Area4,0.52
AFU4318.jpeg.txt.Area5,0.755
AFW7317.jpeg.txt.Area,0.853
AFY5122.jpeg.txt.Area1,0.544
AFY5122.jpeg.txt.Area2,0.68
AFY5122.jpeg.txt.Area3,0.497
AFY5122.jpeg.txt.Area4,0.745
AFY5122.jpeg.txt.Area5,0.519
AFZ3710.jpeg.txt.Area,1.525
AGC5581.jpeg.txt.Area1,0.803
AGC5581.jpeg.txt.Area2,0.555
AGC5581.jpeg.txt.Area3,0.532
AGC5581.jpeg.txt.Area4,0.848
AGC5581.jpeg.txt.Area5,0.352
AGD0575.jpeg.txt.Area,2.411
AGG8353.jpeg.txt.Area1,0.406
AGG8353.jpeg.txt.Area2,0.647
AGG8353.jpeg.txt.Area3,0.758
AGG8353.jpeg.txt.Area4,0.716
AGG8353.jpeg.txt.Area5,0.585
AGH6475.jpeg.txt.Area,2.081
AGL3450.jpeg.txt.Area1,0.032
AGL3450.jpeg.txt.Area2,0.023
AGL3450.jpeg.txt.Area3,0.019
AGL3450.jpeg.txt.Area4,0.006
AGL3450.jpeg.txt.Area5,0.024
AGL3450.jpeg.txt.Area6,0.026
AGL3450.jpeg.txt.Area7,0.028
AGL3450.jpeg.txt.Area8,0.009
AGL3450.jpeg.txt.Area9,0.018
AGL3450.jpeg.txt.Area10,0.012
AGL3450.jpeg.txt.Area11,0.019
AGL3450.jpeg.txt.Area12,0.021
AGL3450.jpeg.txt.Area13,0.023
AGL3450.jpeg.txt.Area14,0.017
AGL3450.jpeg.txt.Area15,0.153
AGL3450.jpeg.txt.Area16,0.033
AGL3450.jpeg.txt.Area17,0.009
AGL3450.jpeg.txt.Area18,0.069
AGL3450.jpeg.txt.Area19,0.024
AGL3450.jpeg.txt.Area20,0.028
AGL3450.jpeg.txt.Area21,0.035
AGL3450.jpeg.txt.Area22,0.032
AGL3450.jpeg.txt.Area23,0.032
AGL3450.jpeg.txt.Area24,0.018
AGL3450.jpeg.txt.Area25,0.014
AGL3450.jpeg.txt.Area26,0.018
AGL3450.jpeg.txt.Area27,0.028
AGL3450.jpeg.txt.Area28,0.012
AGL3450.jpeg.txt.Area29,0.016
AGL3450.jpeg.txt.Area30,0.054
AGL3450.jpeg.txt.Area31,0.029
AGL3450.jpeg.txt.Area32,0.028
AGL3450.jpeg.txt.Area33,0.017
AGL3450.jpeg.txt.Area34,0.022
AGL3450.jpeg.txt.Area35,0.01
AGL3450.jpeg.txt.Area36,0.023
AGL3450.jpeg.txt.Area37,0.033
AGL3450.jpeg.txt.Area38,0.034
AGL3450.jpeg.txt.Area39,0.018
AGL3450.jpeg.txt.Area40,0.091
AGL3450.jpeg.txt.Area41,0.018
AGL3450.jpeg.txt.Area42,0.03
AGL3450.jpeg.txt.Area43,0.029
AGL3450.jpeg.txt.Area44,0.029
AGL3450.jpeg.txt.Area45,0.009
AGL3450.jpeg.txt.Area46,0.027
AGL3450.jpeg.txt.Area47,0.01
AGL3450.jpeg.txt.Area48,0.02
AGL3450.jpeg.txt.Area49,0.009
AGL3450.jpeg.txt.Area50,0.027
AGL3450.jpeg.txt.Area51,0.022
AGL3450.jpeg.txt.Area52,0.022
AGL3450.jpeg.txt.Area53,0.01
AGL3450.jpeg.txt.Area54,0.006
AGL3450.jpeg.txt.Area55,0.027
AGL3450.jpeg.txt.Area56,0.016
AGL3450.jpeg.txt.Area57,0.02
AGL3450.jpeg.txt.Area58,0.061
AGL3450.jpeg.txt.Area59,0.023
AGL3450.jpeg.txt.Area60,0.019
AGL3450.jpeg.txt.Area61,0.008
AGL3450.jpeg.txt.Area62,0.005
AGL3450.jpeg.txt.Area63,0.036
AGL3450.jpeg.txt.Area64,0.053
AGL3450.jpeg.txt.Area65,0.01
AGL3450.jpeg.txt.Area66,0.052
AGL3450.jpeg.txt.Area67,0.014
AGL3450.jpeg.txt.Area68,0.018
AGL3450.jpeg.txt.Area69,0.02
AGL3450.jpeg.txt.Area70,0.021
AGL3450.jpeg.txt.Area71,0.018
AGL3450.jpeg.txt.Area72,0.024
AGL3450.jpeg.txt.Area73,0.027
AGL3450.jpeg.txt.Area74,0.008
AGL3450.jpeg.txt.Area75,0.006
AGL3450.jpeg.txt.Area76,0.054
AGL3450.jpeg.txt.Area77,0.016
AGL3450.jpeg.txt.Area78,0.014
AGL3450.jpeg.txt.Area79,0.014
AGL3450.jpeg.txt.Area80,0.012
AGL3450.jpeg.txt.Area81,0.006
AGL3450.jpeg.txt.Area82,0.025
AGL3450.jpeg.txt.Area83,0.018
AGL3450.jpeg.txt.Area84,0.007
AGL3450.jpeg.txt.Area85,0.008
AGL3450.jpeg.txt.Area86,0.022
AGL3450.jpeg.txt.Area87,0.049
AGL3450.jpeg.txt.Area88,0.025
AGL3450.jpeg.txt.Area89,0.049
AGL3450.jpeg.txt.Area90,0.028
AGL3450.jpeg.txt.Area91,0.006
AGL3450.jpeg.txt.Area92,0.02
